cluster,n_samples,mean_observed_otus,median_observed_otus,sd_observed_otus,mean_chao1,median_chao1,sd_chao1,mean_shannon,median_shannon,sd_shannon
2,700,4011.17,3879.5,1036.78,4074.89,3945.09,1059.69,6.5531,6.6036,0.5034
3,792,1303.53,1267.5,572.9,1320.41,1285.48,581.54,5.5897,5.8774,1.1619
4,38,2062.29,2049.0,615.71,2092.29,2071.82,628.22,4.1246,4.1224,0.6782
5,68,5402.15,5310.0,1411.74,5516.53,5427.53,1445.33,6.7567,7.0375,0.7898
10,110,289.44,227.5,235.98,291.69,228.03,238.47,2.6665,2.3426,1.6139
11,33,1472.67,1495.0,284.88,1488.27,1517.04,288.44,5.2375,5.5216,0.6627
16,78,1827.94,1812.0,172.36,1845.04,1829.33,175.25,6.8888,6.8858,0.1716
17,44,2501.25,2514.5,301.31,2519.91,2531.07,304.51,6.449,6.4685,0.2871
18,129,4417.71,4474.0,704.33,4481.06,4547.41,718.39,7.3978,7.4175,0.2223
20,217,1695.79,1699.0,553.37,1714.59,1713.96,559.27,6.1334,6.184,0.5495
