PC,sdev,variance,proportion_variance,cumulative_variance_pct
PC1,10.7928,116.4839,20.0,20.0
PC2,6.0476,36.5737,6.28,26.27
PC3,5.8499,34.221,5.87,32.15
PC4,5.6473,31.8918,5.47,37.62
PC5,4.2557,18.1107,3.11,40.73
PC6,3.6897,13.6139,2.34,43.07
PC7,3.6218,13.1177,2.25,45.32
PC8,3.3312,11.0967,1.9,47.23
PC9,3.2445,10.527,1.81,49.03
PC10,3.1105,9.6752,1.66,50.69
PC11,3.0361,9.2179,1.58,52.28
PC12,2.9458,8.6776,1.49,53.77
PC13,2.8549,8.1505,1.4,55.17
PC14,2.7747,7.6988,1.32,56.49
PC15,2.6937,7.2562,1.25,57.73
PC16,2.639,6.9642,1.2,58.93
PC17,2.5571,6.5386,1.12,60.05
PC18,2.5398,6.4507,1.11,61.16
PC19,2.5097,6.2988,1.08,62.24
PC20,2.4784,6.1426,1.05,63.29
